,val_accuracy,conv1,conv2,dense_units,dropout_rate,learning_rate,epochs,batch_size
0,0.9960208535194397,192,128,192,0.4,0.0003206166563382166,30,192
1,0.9959375262260437,128,256,224,0.7000000000000001,0.0006789302083203084,30,192
2,0.9959166646003723,224,192,160,0.5,0.00016176530973716871,30,192
3,0.9958958625793457,128,224,192,0.6,0.0009674781912297891,30,192
4,0.9958750009536743,192,256,224,0.5,0.0008170324354132605,30,192
5,0.9958750009536743,192,160,96,0.6,0.0006538446881599171,30,192
6,0.9958541393280029,192,160,160,0.5,0.0006729406479006745,30,192
7,0.9958333373069763,128,160,160,0.4,0.0005312719277854492,15,192
8,0.9958124756813049,192,160,160,0.5,0.0006729406479006745,15,192
9,0.9957916736602783,96,64,160,0.7000000000000001,0.00031510705629096133,30,192
10,0.9957708120346069,160,128,128,0.5,0.000493446318593248,30,192
11,0.9957500100135803,128,256,224,0.7000000000000001,0.0006789302083203084,15,192
12,0.9957291483879089,128,192,64,0.5,0.0003555649369416632,30,192
13,0.9957291483879089,128,160,160,0.4,0.0005312719277854492,8,192
14,0.9957083463668823,256,128,224,0.7000000000000001,0.00016228147542912764,30,192
15,0.9957083463668823,160,224,192,0.4,0.0008053201250101636,15,192
16,0.9956874847412109,224,224,224,0.7000000000000001,0.0001373575000752725,30,192
17,0.9956874847412109,224,128,256,0.30000000000000004,0.00027196868413302354,15,192
18,0.9956874847412109,32,128,192,0.7000000000000001,0.0010470703300439256,30,192
19,0.9956874847412109,160,128,128,0.5,0.000493446318593248,15,192
20,0.9956666827201843,160,96,160,0.4,0.0013483168145598807,15,192
21,0.9956666827201843,160,128,256,0.4,0.0005195980279086541,30,192
22,0.9956666827201843,224,96,224,0.4,0.0005174502906459962,15,192
23,0.9956458210945129,32,256,256,0.8,0.0010575697475283586,30,192
24,0.9956458210945129,160,128,256,0.4,0.0005195980279086541,15,192
25,0.9956250190734863,192,192,64,0.6,0.0008213805680931154,30,192
26,0.9956250190734863,224,160,256,0.4,0.0011548455449481153,15,192
27,0.9956250190734863,128,160,160,0.4,0.0005312719277854492,30,192
28,0.9956041574478149,128,224,192,0.6,0.0009674781912297891,15,192
29,0.9956041574478149,192,96,96,0.6,0.0005217018910251233,30,192
30,0.9956041574478149,192,128,192,0.4,0.0003206166563382166,15,192
31,0.9956041574478149,224,128,256,0.30000000000000004,0.00027196868413302354,30,192
32,0.9956041574478149,32,128,192,0.7000000000000001,0.0010470703300439256,15,192
33,0.9955833554267883,96,160,224,0.6,0.001989751755243559,15,192
34,0.9955833554267883,192,256,224,0.5,0.0008170324354132605,15,192
35,0.9955833554267883,128,224,192,0.6,0.0009674781912297891,8,192
36,0.9955624938011169,32,256,224,0.2,0.00041818829630028666,30,192
37,0.9955624938011169,64,160,96,0.5,0.0005236906227546035,30,192
38,0.9955416917800903,256,160,224,0.4,0.0002410137413750422,30,192
39,0.9955416917800903,192,128,160,0.30000000000000004,0.0004251982974278177,30,192
40,0.9955416917800903,32,96,128,0.30000000000000004,0.00046710314559090724,30,192
41,0.995520830154419,192,192,64,0.6,0.0008213805680931154,15,192
42,0.995520830154419,128,96,256,0.9,0.0006397222967790205,30,192
43,0.9955000281333923,224,192,160,0.5,0.00016176530973716871,15,192
44,0.9955000281333923,32,256,256,0.8,0.0010575697475283586,15,192
45,0.9955000281333923,192,160,96,0.6,0.0006538446881599171,15,192
46,0.995479166507721,96,192,96,0.4,0.002220709089529535,30,192
47,0.995479166507721,160,256,128,0.4,0.00026315802500315345,15,192
48,0.995479166507721,160,224,192,0.4,0.0008053201250101636,30,192
49,0.9954583048820496,128,224,96,0.4,0.0007754815202783544,30,192
50,0.9954583048820496,192,160,160,0.5,0.0006729406479006745,8,192
51,0.995437502861023,192,64,192,0.5,0.0012225640770435482,30,192
52,0.9954166412353516,32,64,128,0.7000000000000001,0.0013182933088237972,30,192
53,0.9954166412353516,64,128,96,0.2,0.0013822274593552758,30,192
54,0.9954166412353516,192,64,128,0.5,0.00027239651283967036,30,192
55,0.9954166412353516,192,128,96,0.7000000000000001,0.0008204040606605068,15,192
56,0.995395839214325,160,160,160,0.2,0.0002212413922056264,30,192
57,0.995395839214325,128,256,224,0.7000000000000001,0.0006789302083203084,8,192
58,0.995395839214325,224,96,224,0.4,0.0005174502906459962,8,192
59,0.9953749775886536,128,224,160,0.30000000000000004,0.002391706687008048,15,192
60,0.9953749775886536,192,256,224,0.5,0.0008170324354132605,8,192
61,0.9953749775886536,192,128,96,0.7000000000000001,0.0008204040606605068,30,192
62,0.995354175567627,96,160,224,0.6,0.001989751755243559,30,192
63,0.995354175567627,160,256,256,0.4,0.002269730362400285,30,192
64,0.995354175567627,32,256,256,0.8,0.0010575697475283586,8,192
65,0.995354175567627,96,160,128,0.6,0.002242865877928494,8,192
66,0.9953333139419556,128,224,96,0.4,0.0007754815202783544,8,192
67,0.9953333139419556,160,128,256,0.4,0.0005195980279086541,8,192
68,0.9953333139419556,192,128,192,0.4,0.0003206166563382166,8,192
69,0.995312511920929,256,128,224,0.7000000000000001,0.00016228147542912764,15,192
70,0.995312511920929,224,192,128,0.4,0.0012417325266407874,8,192
71,0.995312511920929,224,96,224,0.4,0.0005174502906459962,30,192
72,0.9952916502952576,128,192,192,0.1,0.000581434737371341,15,192
73,0.995270848274231,192,96,96,0.6,0.0005217018910251233,15,192
74,0.995270848274231,96,160,128,0.6,0.002242865877928494,15,192
75,0.995270848274231,128,192,96,0.2,0.0007040174447142196,15,192
76,0.995270848274231,224,128,128,0.30000000000000004,0.0004963175673105428,30,192
77,0.9952499866485596,160,64,96,0.6,0.0006272926608040048,15,192
78,0.9952499866485596,160,256,224,0.5,0.00207431648016279,30,192
79,0.9952499866485596,96,160,128,0.6,0.002242865877928494,30,192
80,0.9952499866485596,128,224,160,0.8,0.0013987763636276298,15,192
81,0.9952499866485596,32,96,128,0.30000000000000004,0.00046710314559090724,15,192
82,0.995229184627533,160,96,160,0.4,0.0013483168145598807,30,192
83,0.995229184627533,128,224,160,0.8,0.0013987763636276298,30,192
84,0.995229184627533,64,64,128,0.4,0.001426144356481806,8,192
85,0.9952083230018616,160,64,96,0.6,0.0006272926608040048,30,192
86,0.9952083230018616,256,192,192,0.1,0.00016018639884570095,30,192
