,val_accuracy,conv1,conv2,dense_units,dropout_rate,learning_rate,epochs,batch_size
0,0.9960208535194397,32,256,224,0.5,0.00010329510901191479,15,32
1,0.9959791898727417,224,192,256,0.30000000000000004,0.0003002247180547296,30,32
2,0.9959583282470703,224,128,160,0.5,0.0001520991980668577,15,32
3,0.9959375262260437,256,160,192,0.5,0.00016378962306363488,30,32
4,0.9959375262260437,224,192,256,0.30000000000000004,0.0003002247180547296,15,32
5,0.9959166646003723,160,192,96,0.4,0.00023796429136167758,30,32
6,0.9958958625793457,32,256,256,0.7000000000000001,0.00013428186382661135,15,32
7,0.9958750009536743,192,128,160,0.6,0.0001049451462933116,30,32
8,0.9958750009536743,224,128,160,0.5,0.0001520991980668577,30,32
9,0.9958333373069763,32,256,256,0.7000000000000001,0.00013428186382661135,30,32
10,0.9958124756813049,32,256,224,0.5,0.00010329510901191479,30,32
11,0.9957916736602783,160,160,256,0.7000000000000001,0.00015599498658820773,30,32
12,0.9957708120346069,32,224,256,0.4,0.0001563312320481955,30,32
13,0.9957291483879089,128,256,224,0.5,0.0005334545424135214,8,32
14,0.9957291483879089,160,192,160,0.6,0.0004832903550565214,30,32
15,0.9957291483879089,64,256,192,0.2,0.0005215504951794882,30,32
16,0.9957083463668823,160,192,96,0.4,0.00023796429136167758,15,32
17,0.9957083463668823,256,128,256,0.5,0.00023681845901196664,8,32
18,0.9957083463668823,160,192,160,0.6,0.0004832903550565214,15,32
19,0.9956874847412109,256,128,256,0.5,0.00023681845901196664,15,32
20,0.9956874847412109,160,256,128,0.30000000000000004,0.00010739617396409758,30,32
21,0.9956874847412109,192,128,96,0.7000000000000001,0.00018533068712512363,30,32
22,0.9956666827201843,128,128,128,0.5,0.00020887054682357353,30,32
23,0.9956666827201843,32,224,160,0.5,0.0004503919820457184,30,32
24,0.9956666827201843,128,256,224,0.5,0.0005334545424135214,15,32
25,0.9956458210945129,192,128,160,0.6,0.0001049451462933116,15,32
26,0.9956250190734863,128,256,224,0.5,0.0005334545424135214,30,32
