,trial_id,mean_val_accuracy,conv1,conv2,dense_units,dropout_rate,learning_rate,batch_size
0,0058,0.9940000176429749,128,192,160,0.5,0.0013925336544278258,192
1,0245,0.9937499761581421,224,224,160,0.5,0.0006954242203329664,192
2,0168,0.9934999942779541,160,224,96,0.6,0.0009064135578205235,192
3,0223,0.9934999942779541,256,224,160,0.5,0.0008371988122236701,192
4,0061,0.9931666851043701,128,192,160,0.5,0.0013925336544278258,192
5,0182,0.9930833578109741,128,256,224,0.4,0.0006717233174087713,192
6,0242,0.9929999709129333,224,224,160,0.5,0.0006954242203329664,192
7,0403,0.9929999709129333,96,224,224,0.30000000000000004,0.0007011814970090069,192
8,0036,0.9929166436195374,128,64,64,0.30000000000000004,0.0015453316687064683,192
9,0338,0.9929166436195374,64,192,224,0.7000000000000001,0.0007389625185877747,192
10,0174,0.9928333163261414,64,160,256,0.6,0.0019507512756198107,192
11,0222,0.9928333163261414,64,192,224,0.8,0.002262219170980031,192
12,0154,0.9927499890327454,32,96,256,0.9,0.002526311362793947,192
13,0306,0.9927499890327454,64,192,256,0.4,0.0013858703174839794,192
14,0334,0.9927499890327454,160,64,224,0.6,0.0010105225052329686,192
15,0084,0.9926666617393494,96,224,128,0.7000000000000001,0.00042865485672462857,192
16,0352,0.9926666617393494,256,64,160,0.8,0.0006120105803329905,192
17,0038,0.9925833344459534,128,64,64,0.30000000000000004,0.0015453316687064683,192
18,0052,0.9925833344459534,128,192,160,0.5,0.0013925336544278258,192
19,0075,0.9925833344459534,256,256,64,0.4,0.000699204056440982,192
20,0130,0.9925833344459534,96,192,224,0.5,0.002547117999527688,192
21,0214,0.9925833344459534,192,192,128,0.30000000000000004,0.0008905259819768822,192
22,0221,0.9925833344459534,64,192,224,0.8,0.002262219170980031,192
23,0311,0.9925833344459534,64,192,256,0.4,0.0013858703174839794,192
24,0312,0.9925833344459534,128,96,192,0.4,0.0010553804410088816,192
25,0336,0.9925833344459534,64,192,224,0.7000000000000001,0.0007389625185877747,192
26,0337,0.9925833344459534,160,64,224,0.6,0.0010105225052329686,192
27,0072,0.9925000071525574,256,256,64,0.4,0.000699204056440982,192
28,0076,0.9925000071525574,224,256,256,0.8,0.001996334459987542,192
29,0150,0.9925000071525574,96,192,192,0.4,0.002291990786900552,192
30,0220,0.9925000071525574,256,224,160,0.5,0.0008371988122236701,192
31,0347,0.9925000071525574,64,224,160,0.5,0.0009952818649930884,192
32,0359,0.9925000071525574,224,32,224,0.2,0.0031727195992059948,192
33,0060,0.9924166798591614,64,224,128,0.5,0.0025674422564504226,192
34,0128,0.9924166798591614,96,192,224,0.5,0.002547117999527688,192
35,0163,0.9924166798591614,128,128,64,0.1,0.0013374133933164007,192
36,0180,0.9924166798591614,64,64,256,0.5,0.0013960944101282333,192
37,0315,0.9924166798591614,128,96,192,0.4,0.0010553804410088816,192
38,0351,0.9924166798591614,64,224,160,0.5,0.0009952818649930884,192
39,0429,0.9924166798591614,160,224,64,0.6,0.0006948639754218684,192
40,0457,0.9924166798591614,224,224,256,0.9,0.0008019466710415382,192
41,0030,0.9923333525657654,224,96,256,0.30000000000000004,0.001772507252479043,192
42,0164,0.9923333525657654,160,224,96,0.6,0.0009064135578205235,192
43,0268,0.9923333525657654,256,96,192,0.4,0.0003219313170416267,192
44,0404,0.9923333525657654,64,224,192,0.30000000000000004,0.0023692048764904754,192
45,0427,0.9923333525657654,160,224,64,0.6,0.0006948639754218684,192
46,0062,0.9922500252723694,64,224,128,0.5,0.0025674422564504226,192
47,0175,0.9922500252723694,64,160,256,0.6,0.0019507512756198107,192
48,0361,0.9921666383743286,96,128,224,0.4,0.0006818920464866776,192
49,0083,0.9920833110809326,160,192,64,0.5,0.0015533847398057849,192
50,0090,0.9920833110809326,64,192,192,0.2,0.0018188525449890844,192
51,0170,0.9920833110809326,64,160,256,0.4,0.0019486418279609115,192
52,0269,0.9920833110809326,128,96,160,0.4,0.001220955222773274,192
53,0350,0.9920833110809326,256,64,160,0.8,0.0006120105803329905,192
54,0405,0.9920833110809326,160,128,96,0.2,0.0006601859540161624,192
55,0035,0.9919999837875366,224,96,256,0.30000000000000004,0.001772507252479043,192
56,0165,0.9919999837875366,192,192,160,0.8,0.000412396110474626,192
57,0239,0.9919999837875366,224,224,160,0.5,0.0006954242203329664,192
58,0314,0.9919999837875366,64,192,256,0.4,0.0013858703174839794,192
59,0406,0.9919999837875366,96,224,224,0.30000000000000004,0.0007011814970090069,192
60,0454,0.9919999837875366,96,96,96,0.1,0.0017177623555536738,192
61,0039,0.9919166564941406,224,96,256,0.30000000000000004,0.001772507252479043,192
62,0071,0.9919166564941406,224,256,256,0.8,0.001996334459987542,192
63,0145,0.9919166564941406,96,192,192,0.4,0.002291990786900552,192
64,0176,0.9919166564941406,64,160,256,0.4,0.0019486418279609115,192
65,0335,0.9919166564941406,128,160,160,0.2,0.0005908066495367975,192
66,0348,0.9919166564941406,96,224,224,0.4,0.0006220149885116935,192
67,0360,0.9919166564941406,192,160,160,0.8,0.001800627430497124,192
68,0402,0.9919166564941406,96,224,224,0.30000000000000004,0.0007011814970090069,192
69,0430,0.9919166564941406,224,160,160,0.4,0.0004632926172814754,192
70,0037,0.9918333292007446,32,128,192,0.8,0.004485708249434565,192
71,0059,0.9918333292007446,224,192,160,0.2,0.0008430177316823599,192
72,0123,0.9918333292007446,128,160,96,0.4,0.0035224511253237733,192
73,0261,0.9918333292007446,128,96,192,0.1,0.0011851307653475837,192
74,0310,0.9918333292007446,128,96,192,0.4,0.0010553804410088816,192
75,0399,0.9918333292007446,64,224,192,0.30000000000000004,0.0023692048764904754,192
76,0407,0.9918333292007446,64,224,192,0.30000000000000004,0.0023692048764904754,192
77,0122,0.9917500019073486,96,192,224,0.5,0.002547117999527688,192
78,0125,0.9917500019073486,64,192,224,0.1,0.004806061600503526,192
79,0127,0.9917500019073486,128,160,96,0.4,0.0035224511253237733,192
80,0153,0.9917500019073486,96,192,192,0.4,0.002291990786900552,192
81,0177,0.9917500019073486,256,64,64,0.5,0.0005342767472521939,192
