,trial_id,mean_val_accuracy,conv1,conv2,dense_units,dropout_rate,learning_rate,batch_size
0,0036,0.9931666851043701,160,128,160,0.7000000000000001,0.000615233199987207,80
1,0075,0.9931666851043701,128,128,224,0.5,0.0005618333446427555,80
2,0038,0.9931666851043701,160,128,160,0.7000000000000001,0.000615233199987207,80
3,0259,0.9931666851043701,64,64,192,0.5,0.0007338716918437444,80
4,0407,0.9931666851043701,128,224,128,0.6,0.001378263248778274,80
5,0315,0.9930833578109741,64,64,256,0.5,0.0013960944101282333,80
6,0257,0.9930833578109741,64,64,192,0.5,0.0007338716918437444,80
7,0363,0.9930833578109741,128,96,160,0.4,0.001220955222773274,80
8,0444,0.9930833578109741,64,224,160,0.5,0.0009952818649930884,80
9,0245,0.9929999709129333,96,192,192,0.4,0.002291990786900552,80
10,0260,0.9929999709129333,192,192,160,0.8,0.000412396110474626,80
11,0440,0.9929999709129333,96,224,224,0.4,0.0006220149885116935,80
12,0443,0.9929999709129333,96,224,224,0.4,0.0006220149885116935,80
13,0083,0.9929166436195374,160,192,224,0.5,0.0002249755313619729,80
14,0314,0.9929166436195374,256,224,160,0.5,0.0008371988122236701,80
15,0311,0.9929166436195374,256,224,160,0.5,0.0008371988122236701,80
16,0258,0.9928333163261414,192,192,160,0.8,0.000412396110474626,80
17,0430,0.9928333163261414,64,192,224,0.7000000000000001,0.0007389625185877747,80
18,0058,0.9927499890327454,160,192,160,0.1,0.0004880806205593252,80
19,0180,0.9927499890327454,96,224,128,0.7000000000000001,0.00042865485672462857,80
20,0127,0.9927499890327454,96,256,160,0.2,0.0005293391761557029,80
21,0272,0.9927499890327454,160,128,160,0.5,0.0017259745092203106,80
22,0175,0.9927499890327454,64,192,192,0.30000000000000004,0.0003918641276645972,80
23,0427,0.9927499890327454,160,64,224,0.6,0.0010105225052329686,80
24,0451,0.9927499890327454,128,64,160,0.8,0.0006409367392474233,80
25,0242,0.9926666617393494,96,192,192,0.4,0.002291990786900552,80
26,0445,0.9926666617393494,128,64,160,0.8,0.0006409367392474233,80
27,0406,0.9926666617393494,96,96,192,0.6,0.001361970670184066,80
28,0130,0.9925833344459534,96,256,160,0.2,0.0005293391761557029,80
29,0131,0.9925833344459534,32,192,128,0.30000000000000004,0.0013279102669134521,80
30,0182,0.9925833344459534,32,192,256,0.7000000000000001,0.00017431478309981377,80
31,0154,0.9925833344459534,160,224,128,0.30000000000000004,0.00024042541566021757,80
32,0428,0.9925833344459534,64,192,224,0.7000000000000001,0.0007389625185877747,80
33,0439,0.9925833344459534,64,224,160,0.5,0.0009952818649930884,80
34,0035,0.9925000071525574,160,96,128,0.5,0.0009294745699713808,80
35,0123,0.9925000071525574,96,256,160,0.2,0.0005293391761557029,80
36,0080,0.9925000071525574,160,192,224,0.5,0.0002249755313619729,80
37,0214,0.9925000071525574,32,128,192,0.5,0.0009358636959100566,80
38,0337,0.9925000071525574,224,224,160,0.5,0.0006954242203329664,80
39,0404,0.9925000071525574,96,96,192,0.6,0.001361970670184066,80
40,0089,0.9924166798591614,128,96,224,0.7000000000000001,0.0015141913494764387,80
41,0223,0.9924166798591614,64,32,192,0.5,0.0010413788678113095,80
42,0334,0.9924166798591614,224,224,160,0.5,0.0006954242203329664,80
43,0405,0.9924166798591614,128,224,128,0.6,0.001378263248778274,80
44,0061,0.9923333525657654,160,192,160,0.1,0.0004880806205593252,80
45,0338,0.9923333525657654,192,192,128,0.30000000000000004,0.0008905259819768822,80
46,0429,0.9923333525657654,160,64,224,0.6,0.0010105225052329686,80
47,0366,0.9923333525657654,224,128,192,0.30000000000000004,0.000596563531931761,80
48,0039,0.9922500252723694,160,96,128,0.5,0.0009294745699713808,80
49,0037,0.9922500252723694,256,192,64,0.2,0.0003623815491328145,80
50,0165,0.9922500252723694,256,256,64,0.4,0.000699204056440982,80
51,0124,0.9922500252723694,32,192,128,0.30000000000000004,0.0013279102669134521,80
52,0222,0.9922500252723694,32,128,192,0.5,0.0009358636959100566,80
53,0163,0.9922500252723694,224,256,256,0.8,0.001996334459987542,80
54,0335,0.9922500252723694,192,192,128,0.30000000000000004,0.0008905259819768822,80
55,0352,0.9922500252723694,32,160,64,0.5,0.003927381978059904,80
56,0076,0.9921666383743286,64,128,96,0.7000000000000001,0.0017529957488324514,80
57,0268,0.9921666383743286,128,256,96,0.4,0.00012606513583397595,80
58,0168,0.9921666383743286,256,256,64,0.4,0.000699204056440982,80
59,0221,0.9921666383743286,64,32,192,0.5,0.0010413788678113095,80
60,0219,0.9921666383743286,32,128,192,0.5,0.0009358636959100566,80
61,0313,0.9921666383743286,64,96,160,0.2,0.0010932764246458526,80
62,0312,0.9921666383743286,64,64,256,0.5,0.0013960944101282333,80
63,0449,0.9921666383743286,192,160,160,0.8,0.001800627430497124,80
64,0453,0.9921666383743286,96,128,224,0.4,0.0006818920464866776,80
65,0059,0.9920833110809326,128,160,128,0.2,0.0010828465568378522,80
66,0150,0.9920833110809326,128,192,160,0.5,0.0013925336544278258,80
67,0087,0.9920833110809326,160,224,192,0.6,0.0002470941993523134,80
68,0071,0.9920833110809326,128,128,224,0.5,0.0005618333446427555,80
69,0164,0.9920833110809326,64,224,128,0.5,0.0025674422564504226,80
70,0152,0.9920833110809326,160,224,128,0.30000000000000004,0.00024042541566021757,80
71,0266,0.9920833110809326,64,160,256,0.4,0.0019486418279609115,80
72,0308,0.9920833110809326,256,224,160,0.5,0.0008371988122236701,80
73,0364,0.9920833110809326,64,192,160,0.2,0.0006438017060958744,80
74,0179,0.9919999837875366,32,64,256,0.7000000000000001,0.0004192081977462822,80
75,0169,0.9919999837875366,64,192,192,0.30000000000000004,0.0003918641276645972,80
76,0216,0.9919999837875366,64,192,192,0.2,0.0018188525449890844,80
77,0365,0.9919999837875366,256,96,192,0.4,0.0003219313170416267,80
78,0052,0.9919166564941406,160,192,160,0.1,0.0004880806205593252,80
79,0151,0.9919166564941406,256,128,160,0.2,0.000642144054857491,80
80,0176,0.9919166564941406,224,160,32,0.5,0.0010733251249694183,80
81,0306,0.9919166564941406,64,64,256,0.5,0.0013960944101282333,80
82,0437,0.9919166564941406,64,224,160,0.5,0.0009952818649930884,80
83,0328,0.9919166564941406,224,224,160,0.5,0.0006954242203329664,80
84,0458,0.9919166564941406,256,160,128,0.2,0.0015041993987227917,80
85,0220,0.9918333292007446,64,192,192,0.2,0.0018188525449890844,80
