,val_accuracy,conv1,conv2,dense_units,dropout_rate,learning_rate,epochs,batch_size
0,0.9940833449363708,256,128,224,0.6,0.0005906296261520694,15,96
1,0.9935833215713501,256,128,224,0.6,0.0005906296261520694,30,96
2,0.9933333396911621,160,192,256,0.5,0.000867079405742434,30,96
3,0.9931666851043701,64,96,160,0.6,0.0015884793251727195,30,96
4,0.9931666851043701,32,96,256,0.7000000000000001,0.0008462322805190992,30,96
5,0.9931666851043701,96,256,192,0.7000000000000001,0.0004287130972743172,30,96
6,0.9931666851043701,192,224,128,0.6,0.0009257737375248134,30,96
7,0.9930833578109741,128,160,128,0.6,0.001471633101895359,15,96
8,0.9929999709129333,192,224,96,0.6,0.0009237105654436841,30,96
9,0.9929999709129333,160,192,256,0.5,0.000867079405742434,15,96
10,0.9929166436195374,128,224,64,0.5,0.0010509199655136681,30,96
11,0.9929166436195374,32,96,256,0.7000000000000001,0.0008462322805190992,15,96
12,0.9928333163261414,32,64,256,0.4,0.001052995335257995,30,96
13,0.9927499890327454,128,224,64,0.5,0.0010509199655136681,15,96
14,0.9927499890327454,64,256,96,0.6,0.000995957370741093,30,96
15,0.9927499890327454,224,256,160,0.8,0.0005609749427766273,30,96
16,0.9927499890327454,160,64,224,0.6,0.0009188127908716711,15,96
17,0.9927499890327454,64,32,224,0.6,0.0011300539238401793,30,96
18,0.9926666617393494,128,64,128,0.6,0.001124997459151744,30,96
19,0.9926666617393494,256,256,32,0.30000000000000004,0.001726071629577545,30,96
20,0.9926666617393494,256,224,96,0.4,0.0004900668694019312,15,96
21,0.9925833344459534,160,128,64,0.5,0.0011826668665147007,30,96
22,0.9925833344459534,224,128,160,0.2,0.0005889065040017682,30,96
23,0.9925833344459534,224,128,224,0.5,0.0002938347481847469,30,96
24,0.9925000071525574,128,96,192,0.5,0.0014016636859761544,8,96
25,0.9925000071525574,256,96,192,0.8,0.0003193926052863493,30,96
26,0.9925000071525574,96,256,192,0.1,0.0008440015662539562,8,96
27,0.9925000071525574,32,64,192,0.5,0.0008296576475385536,15,96
28,0.9925000071525574,224,256,128,0.6,0.0012484085956336835,15,96
29,0.9925000071525574,192,256,192,0.5,0.0015241216977665813,15,96
30,0.9925000071525574,128,160,128,0.6,0.001471633101895359,30,96
31,0.9924166798591614,32,128,192,0.2,0.0010616634509523775,30,96
32,0.9924166798591614,192,224,96,0.6,0.0009237105654436841,15,96
33,0.9924166798591614,96,256,192,0.7000000000000001,0.0004287130972743172,15,96
34,0.9924166798591614,256,224,96,0.4,0.0004900668694019312,30,96
35,0.9924166798591614,64,96,160,0.6,0.0015884793251727195,15,96
36,0.9924166798591614,96,192,128,0.2,0.000415394047105183,30,96
37,0.9924166798591614,192,224,128,0.6,0.0009257737375248134,15,96
38,0.9924166798591614,192,256,192,0.7000000000000001,0.0015396769148556593,30,96
39,0.9924166798591614,192,256,192,0.5,0.0015241216977665813,30,96
40,0.9923333525657654,224,192,256,0.6,0.0016882510251331497,15,96
41,0.9923333525657654,160,192,256,0.4,0.0019276917223389899,8,96
42,0.9923333525657654,128,160,128,0.6,0.001471633101895359,8,96
43,0.9923333525657654,256,96,96,0.4,0.0014377694293385267,15,96
44,0.9922500252723694,64,128,224,0.4,0.002207095008816061,30,96
45,0.9922500252723694,256,128,224,0.6,0.0005906296261520694,8,96
46,0.9922500252723694,128,192,160,0.7000000000000001,0.0017920857189070067,30,96
47,0.9922500252723694,224,256,192,0.9,0.001005846502296779,30,96
48,0.9922500252723694,32,160,256,0.4,0.0009643088478901497,30,96
49,0.9922500252723694,32,256,128,0.8,0.0003912743942587672,30,96
50,0.9921666383743286,160,256,256,0.5,0.00018285893202451146,30,96
51,0.9921666383743286,224,192,256,0.6,0.0016882510251331497,8,96
52,0.9921666383743286,224,128,224,0.5,0.0002938347481847469,15,96
53,0.9921666383743286,96,192,128,0.2,0.000415394047105183,15,96
54,0.9921666383743286,32,64,192,0.5,0.0008296576475385536,30,96
55,0.9921666383743286,32,64,128,0.7000000000000001,0.0007649324852204355,30,96
56,0.9921666383743286,128,64,96,0.6,0.0006231306797458743,30,96
57,0.9921666383743286,160,192,256,0.5,0.000867079405742434,8,96
58,0.9920833110809326,192,224,96,0.6,0.0009237105654436841,8,96
59,0.9920833110809326,32,128,224,0.8,0.0020726369903837343,30,96
60,0.9920833110809326,160,192,256,0.4,0.0019276917223389899,15,96
