,trial_id,mean_val_accuracy,conv1,conv2,dense_units,dropout_rate,learning_rate,batch_size
0,0260,0.9936666488647461,192,192,256,0.5,0.0006766435736156065,256
1,0426,0.9934166669845581,224,224,128,0.2,0.0015228263940738605,256
2,0448,0.9934166669845581,224,256,160,0.6,0.0006940404824300579,256
3,0130,0.9933333396911621,160,160,160,0.7000000000000001,0.0009594254133403667,256
4,0406,0.9931666851043701,256,256,160,0.6,0.0005117284082973313,256
5,0427,0.9931666851043701,160,192,224,0.7000000000000001,0.000859445039264591,256
6,0430,0.9931666851043701,160,192,224,0.7000000000000001,0.000859445039264591,256
7,0038,0.9930833578109741,192,192,192,0.5,0.0012866407350287678,256
8,0129,0.9930833578109741,160,160,160,0.7000000000000001,0.0009594254133403667,256
9,0359,0.9930833578109741,64,160,224,0.7000000000000001,0.0016389802959487039,256
10,0407,0.9930833578109741,224,256,128,0.1,0.0009403614999484184,256
11,0036,0.9929999709129333,192,192,192,0.5,0.0012866407350287678,256
12,0360,0.9929999709129333,224,192,256,0.7000000000000001,0.0006279852209383304,256
13,0405,0.9929999709129333,256,256,160,0.6,0.0005117284082973313,256
14,0443,0.9929999709129333,192,256,160,0.6,0.0009239073884084314,256
15,0440,0.9929166436195374,192,256,160,0.6,0.0009239073884084314,256
16,0245,0.9928333163261414,96,160,224,0.30000000000000004,0.0009923244326767518,256
17,0267,0.9928333163261414,128,128,128,0.7000000000000001,0.0016085951067812592,256
18,0429,0.9928333163261414,224,224,128,0.2,0.0015228263940738605,256
19,0035,0.9927499890327454,192,128,224,0.4,0.0009635513804323065,256
20,0073,0.9927499890327454,96,192,96,0.6,0.0010088016459101723,256
21,0266,0.9927499890327454,128,128,128,0.7000000000000001,0.0016085951067812592,256
22,0061,0.9926666617393494,64,128,96,0.4,0.0017349297789334736,256
23,0128,0.9926666617393494,32,128,256,0.2,0.003364458958042958,256
24,0361,0.9926666617393494,192,96,256,0.7000000000000001,0.0019017054353517517,256
25,0039,0.9925833344459534,192,128,224,0.4,0.0009635513804323065,256
26,0058,0.9925833344459534,64,128,96,0.4,0.0017349297789334736,256
27,0356,0.9925833344459534,64,160,224,0.7000000000000001,0.0016389802959487039,256
28,0421,0.9925833344459534,224,224,128,0.2,0.0015228263940738605,256
29,0177,0.9925000071525574,32,32,256,0.4,0.001385933320004091,256
30,0037,0.9924166798591614,256,256,128,0.7000000000000001,0.0006681672318520809,256
31,0127,0.9924166798591614,192,192,192,0.7000000000000001,0.00263349573424098,256
32,0164,0.9924166798591614,256,224,192,0.6,0.0026562972130133554,256
33,0131,0.9924166798591614,32,128,256,0.2,0.003364458958042958,256
34,0154,0.9924166798591614,32,96,192,0.30000000000000004,0.0021291840426046296,256
35,0353,0.9924166798591614,224,192,256,0.7000000000000001,0.0006279852209383304,256
36,0439,0.9924166798591614,32,128,128,0.4,0.002191638761335011,256
37,0031,0.9923333525657654,192,128,224,0.4,0.0009635513804323065,256
38,0167,0.9923333525657654,256,224,192,0.6,0.0026562972130133554,256
39,0153,0.9923333525657654,64,256,96,0.2,0.0010882806869262302,256
40,0221,0.9923333525657654,64,32,192,0.6,0.0031256760850773423,256
41,0259,0.9923333525657654,64,256,192,0.6,0.0008863081679053137,256
42,0442,0.9923333525657654,256,192,64,0.2,0.0012107327077037937,256
43,0451,0.9923333525657654,224,256,160,0.6,0.0006940404824300579,256
44,0150,0.9922500252723694,64,256,96,0.2,0.0010882806869262302,256
45,0268,0.9922500252723694,224,192,160,0.5,0.003167183372858153,256
46,0168,0.9921666383743286,64,160,256,0.30000000000000004,0.00038747292328016573,256
47,0169,0.9921666383743286,32,64,224,0.7000000000000001,0.002770285640257412,256
48,0238,0.9921666383743286,96,160,224,0.30000000000000004,0.0009923244326767518,256
49,0255,0.9921666383743286,64,256,192,0.6,0.0008863081679053137,256
50,0314,0.9921666383743286,64,160,192,0.1,0.0013733775147488259,256
51,0455,0.9921666383743286,224,96,192,0.8,0.0009640647781250717,256
52,0075,0.9920833110809326,96,192,96,0.6,0.0010088016459101723,256
53,0090,0.9920833110809326,96,160,96,0.4,0.0027287819272677964,256
54,0256,0.9920833110809326,192,192,256,0.5,0.0006766435736156065,256
55,0404,0.9920833110809326,224,256,128,0.1,0.0009403614999484184,256
56,0334,0.9920833110809326,192,96,96,0.5,0.002834624210999378,256
57,0437,0.9920833110809326,32,128,128,0.4,0.002191638761335011,256
58,0444,0.9920833110809326,32,128,128,0.4,0.002191638761335011,256
59,0220,0.9919999837875366,160,96,256,0.2,0.001494669481799156,256
60,0076,0.9919999837875366,160,64,256,0.2,0.0005060355280949261,256
61,0060,0.9919999837875366,64,256,64,0.7000000000000001,0.0033066435671169525,256
62,0175,0.9919999837875366,32,64,224,0.7000000000000001,0.002770285640257412,256
63,0081,0.9919166564941406,256,160,192,0.8,0.0038819271520608148,256
64,0171,0.9919166564941406,224,224,128,0.2,0.0004946335973320493,256
65,0222,0.9919166564941406,64,32,192,0.6,0.0031256760850773423,256
66,0246,0.9919166564941406,160,64,160,0.30000000000000004,0.0007134180666249963,256
67,0399,0.9919166564941406,64,128,160,0.2,0.001958975633214816,256
68,0312,0.9919166564941406,64,160,192,0.1,0.0013733775147488259,256
69,0062,0.9918333292007446,64,256,64,0.7000000000000001,0.0033066435671169525,256
70,0261,0.9918333292007446,224,192,160,0.5,0.003167183372858153,256
71,0030,0.9917500019073486,192,192,192,0.5,0.0012866407350287678,256
72,0054,0.9917500019073486,64,128,96,0.4,0.0017349297789334736,256
73,0160,0.9917500019073486,192,256,128,0.1,0.0018125215027101544,256
74,0182,0.9917500019073486,64,256,224,0.4,0.0015701420124772218,256
75,0365,0.9917500019073486,192,160,256,0.7000000000000001,0.004211031069047313,256
76,0436,0.9917500019073486,192,256,160,0.6,0.0009239073884084314,256
77,0086,0.9916666746139526,160,160,224,0.30000000000000004,0.0009210903336314804,256
78,0083,0.9916666746139526,256,160,192,0.8,0.0038819271520608148,256
79,0088,0.9916666746139526,64,160,256,0.8,0.0004123608534849254,256
80,0269,0.9916666746139526,192,160,96,0.6,0.005629018689069258,256
81,0242,0.9916666746139526,96,160,224,0.30000000000000004,0.0009923244326767518,256
82,0306,0.9916666746139526,128,96,224,0.1,0.003768592083025955,256
83,0347,0.9915833473205566,224,224,96,0.1,0.00038809367036793515,256
84,0151,0.9915000200271606,32,96,192,0.30000000000000004,0.0021291840426046296,256
85,0176,0.9915000200271606,224,224,128,0.2,0.0004946335973320493,256
86,0223,0.9915000200271606,160,96,256,0.2,0.001494669481799156,256
87,0166,0.9915000200271606,64,160,256,0.30000000000000004,0.00038747292328016573,256
88,0215,0.9915000200271606,192,160,224,0.30000000000000004,0.0012616129268124873,256
89,0253,0.9915000200271606,64,256,192,0.6,0.0008863081679053137,256
90,0337,0.9915000200271606,192,96,96,0.5,0.002834624210999378,256
91,0420,0.9915000200271606,160,192,224,0.7000000000000001,0.000859445039264591,256
92,0423,0.9915000200271606,96,192,96,0.2,0.0016070531098526341,256
93,0458,0.9915000200271606,160,256,96,0.8,0.00048375332658590173,256
94,0244,0.9914166927337646,160,64,160,0.30000000000000004,0.0007134180666249963,256
95,0338,0.9914166927337646,64,128,256,0.5,0.0003212616414464987,256
96,0355,0.9913333058357239,192,96,256,0.7000000000000001,0.0019017054353517517,256
97,0428,0.9913333058357239,96,192,96,0.2,0.0016070531098526341,256
98,0072,0.9912499785423279,160,64,256,0.2,0.0005060355280949261,256
99,0085,0.9912499785423279,32,64,96,0.30000000000000004,0.006882586554868881,256
100,0122,0.9912499785423279,192,192,192,0.7000000000000001,0.00263349573424098,256
101,0147,0.9912499785423279,64,256,96,0.2,0.0010882806869262302,256
102,0156,0.9912499785423279,256,224,192,0.6,0.0026562972130133554,256
103,0172,0.9912499785423279,32,32,256,0.4,0.001385933320004091,256
104,0270,0.9912499785423279,256,64,224,0.5,0.00028228483297071025,256
105,0308,0.9912499785423279,64,160,192,0.1,0.0013733775147488259,256
106,0367,0.9912499785423279,256,64,224,0.6,0.000318789400975165,256
107,0352,0.9912499785423279,160,192,160,0.5,0.004726311111933951,256
108,0441,0.9912499785423279,192,160,128,0.6,0.00045281895391567737,256
109,0065,0.9911666512489319,160,32,224,0.1,0.0012802433325822752,256
110,0059,0.9911666512489319,64,160,64,0.7000000000000001,0.0026048714310172158,256
111,0091,0.9911666512489319,256,192,256,0.8,0.0023057788252851554,256
112,0145,0.9911666512489319,32,96,192,0.30000000000000004,0.0021291840426046296,256
113,0403,0.9911666512489319,64,128,160,0.2,0.001958975633214816,256
114,0311,0.9911666512489319,128,96,224,0.1,0.003768592083025955,256
115,0335,0.9911666512489319,64,128,256,0.5,0.0003212616414464987,256
116,0452,0.9911666512489319,256,224,192,0.6,0.00017493369289447154,256
117,0459,0.9911666512489319,224,96,128,0.2,0.0015620297094023163,256
118,0033,0.9910833239555359,256,256,128,0.7000000000000001,0.0006681672318520809,256
119,0219,0.9910833239555359,192,160,224,0.30000000000000004,0.0012616129268124873,256
120,0034,0.9909999966621399,128,160,160,0.7000000000000001,0.0007980355466364588,256
121,0123,0.9909999966621399,32,128,256,0.2,0.003364458958042958,256
122,0087,0.9909999966621399,96,224,160,0.30000000000000004,0.004951243896562107,256
123,0165,0.9909999966621399,96,256,128,0.1,0.0008875244085783643,256
124,0084,0.9909999966621399,64,128,160,0.1,0.0037228446291984307,256
125,0152,0.9909999966621399,64,160,224,0.6,0.004706250120495539,256
126,0313,0.9909999966621399,160,64,128,0.5,0.006032959208812536,256
127,0257,0.9909999966621399,160,160,192,0.2,0.004759045596576738,256
128,0214,0.9909999966621399,160,96,256,0.2,0.001494669481799156,256
129,0351,0.9909999966621399,224,224,96,0.1,0.00038809367036793515,256
130,0078,0.9909166693687439,64,128,160,0.1,0.0037228446291984307,256
131,0074,0.9909166693687439,160,128,256,0.1,0.0003849638422450448,256
132,0080,0.9909166693687439,32,64,96,0.30000000000000004,0.006882586554868881,256
133,0183,0.9909166693687439,256,256,256,0.1,0.0018937818424837106,256
134,0402,0.9909166693687439,256,256,160,0.6,0.0005117284082973313,256
135,0398,0.9909166693687439,224,256,128,0.1,0.0009403614999484184,256
136,0348,0.9909166693687439,160,192,160,0.5,0.004726311111933951,256
137,0079,0.9908333420753479,32,256,96,0.7000000000000001,0.0006068110204571213,256
138,0243,0.9908333420753479,192,160,192,0.6,0.004587537316039295,256
139,0163,0.9908333420753479,192,256,128,0.1,0.0018125215027101544,256
