,val_accuracy,conv1,conv2,dense_units,dropout_rate,learning_rate,epochs,batch_size
0,0.9938333630561829,256,128,224,0.6,0.00044981572957734727,30,128
1,0.9935833215713501,160,160,224,0.2,0.0007723686226052484,15,128
2,0.9934999942779541,192,224,128,0.7000000000000001,0.0004600955422725711,30,128
3,0.9934166669845581,192,128,96,0.5,0.0005977652662984508,30,128
4,0.9934166669845581,96,192,160,0.6,0.0007959378128636794,30,128
5,0.9933333396911621,256,192,192,0.7000000000000001,0.001190523097942395,30,128
6,0.9931666851043701,96,256,256,0.7000000000000001,0.00040414090899067303,15,128
7,0.9931666851043701,256,160,192,0.8,0.0004588776713267708,15,128
8,0.9931666851043701,96,256,256,0.1,0.0009615011417443857,15,128
9,0.9931666851043701,224,224,96,0.4,0.0011053943066301971,30,128
10,0.9930833578109741,96,256,256,0.7000000000000001,0.00040414090899067303,30,128
11,0.9930833578109741,96,192,160,0.6,0.0007959378128636794,15,128
12,0.9930833578109741,256,160,192,0.8,0.0004588776713267708,30,128
13,0.9929999709129333,256,192,256,0.8,0.001102804105585901,30,128
14,0.9929999709129333,192,224,128,0.7000000000000001,0.0004600955422725711,15,128
15,0.9929999709129333,160,160,224,0.5,0.0010810344243983956,30,128
16,0.9929166436195374,64,192,160,0.4,0.001073016218061893,30,128
17,0.9929166436195374,128,128,256,0.30000000000000004,0.0005264363579822869,15,128
18,0.9929166436195374,224,192,192,0.8,0.0010502708484834312,30,128
19,0.9928333163261414,160,256,192,0.4,0.00042443229006282915,30,128
20,0.9928333163261414,192,224,224,0.4,0.0004116104793878605,30,128
21,0.9928333163261414,256,192,192,0.7000000000000001,0.001190523097942395,15,128
22,0.9927499890327454,160,256,192,0.4,0.00042443229006282915,15,128
23,0.9927499890327454,256,128,224,0.6,0.00044981572957734727,15,128
24,0.9927499890327454,128,128,256,0.30000000000000004,0.0005264363579822869,30,128
25,0.9927499890327454,96,96,256,0.5,0.0012850181636022086,15,128
26,0.9926666617393494,256,192,256,0.8,0.001102804105585901,15,128
27,0.9926666617393494,160,256,96,0.6,0.0003474966846710524,30,128
28,0.9926666617393494,224,160,128,0.4,0.0009251684050233848,30,128
29,0.9926666617393494,192,224,224,0.4,0.0004116104793878605,15,128
30,0.9926666617393494,160,160,224,0.5,0.0010810344243983956,15,128
31,0.9926666617393494,192,224,192,0.4,0.0005977994126037909,30,128
32,0.9926666617393494,224,96,192,0.4,0.0017377012853110221,30,128
33,0.9926666617393494,224,224,96,0.4,0.0011053943066301971,15,128
34,0.9926666617393494,256,192,192,0.7000000000000001,0.001190523097942395,8,128
35,0.9925833344459534,192,160,128,0.2,0.0007402521767770304,15,128
36,0.9925833344459534,192,160,224,0.30000000000000004,0.0006332383741037616,30,128
37,0.9925833344459534,64,96,128,0.4,0.0020992230665248007,15,128
38,0.9925833344459534,96,96,256,0.5,0.0012850181636022086,30,128
39,0.9925000071525574,256,64,160,0.4,0.0019763725478409333,30,128
40,0.9925000071525574,192,128,96,0.5,0.0005977652662984508,15,128
41,0.9924166798591614,192,160,224,0.30000000000000004,0.0006332383741037616,15,128
42,0.9924166798591614,64,256,224,0.2,0.0007116103500829736,15,128
43,0.9924166798591614,32,224,96,0.8,0.0007459622916446641,30,128
44,0.9924166798591614,224,192,256,0.5,0.0007147230409475165,15,128
45,0.9924166798591614,96,64,224,0.2,0.002018218668402037,15,128
46,0.9924166798591614,224,160,128,0.4,0.0009251684050233848,15,128
47,0.9924166798591614,64,256,224,0.2,0.0007116103500829736,30,128
48,0.9923333525657654,224,128,224,0.30000000000000004,0.0011152022780492703,15,128
49,0.9923333525657654,160,256,128,0.8,0.002201533353413628,30,128
50,0.9923333525657654,192,192,128,0.7000000000000001,0.0007104416318148381,30,128
51,0.9923333525657654,192,224,224,0.7000000000000001,0.0016274878533905327,15,128
52,0.9922500252723694,128,160,128,0.4,0.00039367830532249424,15,128
