,trial_id,mean_val_accuracy,conv1,conv2,dense_units,dropout_rate,learning_rate,batch_size
0,0352,0.9938333630561829,160,160,192,0.4,0.0006981101720200013,64
1,0427,0.9936666488647461,192,224,224,0.6,0.00031613913359087616,64
2,0315,0.9934999942779541,96,128,224,0.4,0.0005946473021886628,64
3,0429,0.9934999942779541,192,224,224,0.6,0.00031613913359087616,64
4,0359,0.9934166669845581,256,96,256,0.5,0.0006164500088858002,64
5,0175,0.9933333396911621,96,64,160,0.7000000000000001,0.0009380326717229366,64
6,0420,0.9933333396911621,224,256,96,0.5,0.0007022600695706456,64
7,0361,0.9931666851043701,192,96,192,0.7000000000000001,0.000966963677831812,64
8,0167,0.9930833578109741,192,160,256,0.8,0.0005788116586297809,64
9,0153,0.9930833578109741,160,224,224,0.6,0.0003593584487534323,64
10,0403,0.9930833578109741,192,192,160,0.4,0.0005999582248909613,64
11,0447,0.9930833578109741,256,96,256,0.30000000000000004,0.00032264295936501765,64
12,0454,0.9930833578109741,160,160,256,0.4,0.0005138163403021559,64
13,0084,0.9929999709129333,192,160,192,0.7000000000000001,0.0002699254383241978,64
14,0246,0.9929999709129333,64,224,256,0.6,0.0010670680270626226,64
15,0430,0.9929999709129333,224,256,96,0.5,0.0007022600695706456,64
16,0338,0.9929166436195374,96,224,128,0.2,0.0007880013746525904,64
17,0360,0.9929166436195374,64,160,128,0.7000000000000001,0.0004900707206926026,64
18,0357,0.9928333163261414,256,96,256,0.5,0.0006164500088858002,64
19,0443,0.9928333163261414,160,160,128,0.1,0.0005144475412729949,64
20,0451,0.9928333163261414,256,96,256,0.30000000000000004,0.00032264295936501765,64
21,0314,0.9927499890327454,224,96,192,0.6,0.0011945519459253546,64
22,0407,0.9927499890327454,64,256,160,0.4,0.0009755210793874596,64
23,0150,0.9926666617393494,160,224,224,0.6,0.0003593584487534323,64
24,0259,0.9926666617393494,64,128,128,0.7000000000000001,0.0008285711782347069,64
25,0311,0.9926666617393494,224,96,192,0.6,0.0011945519459253546,64
26,0312,0.9926666617393494,96,128,224,0.4,0.0005946473021886628,64
27,0313,0.9926666617393494,128,224,224,0.1,0.0006847022000929066,64
28,0335,0.9926666617393494,96,128,160,0.4,0.0007947409954216574,64
29,0307,0.9925833344459534,224,96,192,0.6,0.0011945519459253546,64
30,0348,0.9925833344459534,32,224,64,0.30000000000000004,0.0022232368862489644,64
31,0038,0.9925000071525574,160,128,256,0.30000000000000004,0.000294514201269749,64
32,0275,0.9925000071525574,256,192,160,0.30000000000000004,0.00045011077359637347,64
33,0347,0.9925000071525574,160,160,192,0.4,0.0006981101720200013,64
34,0355,0.9925000071525574,64,160,128,0.7000000000000001,0.0004900707206926026,64
35,0426,0.9925000071525574,224,256,96,0.5,0.0007022600695706456,64
36,0242,0.9924166798591614,256,256,256,0.7000000000000001,0.0017109580932539808,64
37,0354,0.9924166798591614,192,96,192,0.7000000000000001,0.000966963677831812,64
38,0061,0.9923333525657654,224,128,128,0.5,0.0004880704799569678,64
39,0089,0.9923333525657654,32,192,256,0.2,0.0006318189784325001,64
40,0055,0.9923333525657654,224,128,128,0.5,0.0004880704799569678,64
41,0154,0.9923333525657654,160,128,96,0.1,0.0007022847836525801,64
42,0267,0.9923333525657654,160,128,160,0.4,0.0002140821791690464,64
43,0329,0.9923333525657654,160,192,224,0.2,0.0007370060243363525,64
44,0406,0.9923333525657654,192,192,160,0.4,0.0005999582248909613,64
45,0039,0.9922500252723694,64,32,160,0.6,0.0011256157403195925,64
46,0058,0.9922500252723694,224,128,128,0.5,0.0004880704799569678,64
47,0060,0.9922500252723694,224,224,64,0.5,0.0020312059283255943,64
48,0358,0.9922500252723694,256,192,224,0.30000000000000004,0.0011407866804921572,64
49,0428,0.9922500252723694,128,96,128,0.6,0.001225425591844095,64
50,0036,0.9921666383743286,160,128,256,0.30000000000000004,0.000294514201269749,64
51,0037,0.9921666383743286,64,32,160,0.6,0.0011256157403195925,64
52,0075,0.9921666383743286,256,256,192,0.4,0.0001962068613871528,64
53,0083,0.9921666383743286,128,96,64,0.30000000000000004,0.0013315024194091836,64
54,0131,0.9921666383743286,64,224,224,0.30000000000000004,0.0021861497732584595,64
55,0163,0.9921666383743286,192,160,256,0.8,0.0005788116586297809,64
56,0255,0.9921666383743286,64,128,128,0.7000000000000001,0.0008285711782347069,64
57,0269,0.9921666383743286,32,160,256,0.9,0.0001730328173681129,64
58,0272,0.9921666383743286,256,96,192,0.5,0.0008914929298014006,64
59,0330,0.9921666383743286,96,128,160,0.4,0.0007947409954216574,64
60,0336,0.9921666383743286,96,224,128,0.2,0.0007880013746525904,64
61,0081,0.9920833110809326,192,160,192,0.7000000000000001,0.0002699254383241978,64
62,0079,0.9920833110809326,128,96,64,0.30000000000000004,0.0013315024194091836,64
63,0130,0.9920833110809326,96,64,192,0.5,0.002355513400034918,64
64,0245,0.9920833110809326,256,256,256,0.7000000000000001,0.0017109580932539808,64
65,0270,0.9920833110809326,160,128,256,0.9,0.00011201789770905872,64
66,0337,0.9920833110809326,96,128,160,0.4,0.0007947409954216574,64
67,0399,0.9920833110809326,192,192,160,0.4,0.0005999582248909613,64
68,0168,0.9919999837875366,224,192,256,0.8,0.002045838206464179,64
69,0219,0.9919999837875366,96,128,96,0.4,0.0016370333999706642,64
70,0244,0.9919999837875366,64,224,256,0.6,0.0010670680270626226,64
71,0309,0.9919999837875366,96,128,224,0.4,0.0005946473021886628,64
72,0076,0.9919166564941406,32,128,64,0.2,0.001734507705601721,64
73,0091,0.9919166564941406,160,64,128,0.6,0.002011419620747071,64
74,0332,0.9919166564941406,96,224,128,0.2,0.0007880013746525904,64
75,0334,0.9919166564941406,160,192,224,0.2,0.0007370060243363525,64
