,trial_id,mean_val_accuracy,conv1,conv2,dense_units,dropout_rate,learning_rate,batch_size
0,0222,0.8865691423416138,160,224,224,0.6,0.00046933755927329213,160
1,0314,0.8856382966041565,192,128,192,0.5,0.0005077565598237462,160
2,0337,0.8850177526473999,256,64,256,0.6,0.0008436373753133344,160
3,0061,0.884884774684906,32,192,192,0.6,0.0007154844161693303,160
4,0087,0.8846188187599182,32,128,224,0.5,0.0007158770690314929,160
5,0153,0.8844858407974243,64,128,224,0.7000000000000001,0.0007000914691723327,160
6,0167,0.8844414949417114,192,64,224,0.6,0.0004768880020195473,160
7,0220,0.8840425610542297,160,224,224,0.6,0.00046933755927329213,160
8,0403,0.883865237236023,256,256,224,0.5,0.0010949848923181697,160
9,0129,0.8837766051292419,256,192,192,0.6,0.0009031111745904648,160
10,0336,0.8835106492042542,256,64,256,0.6,0.0008436373753133344,160
11,0443,0.8835106492042542,128,160,224,0.6,0.0008510730813483274,160
12,0130,0.8834219574928284,256,192,192,0.6,0.0009031111745904648,160
13,0439,0.8830673694610596,128,160,224,0.6,0.0008510730813483274,160
14,0360,0.882446825504303,192,160,192,0.4,0.00020696387438486408,160
15,0426,0.8824024796485901,96,64,256,0.4,0.0007919746988842461,160
16,0406,0.8823581337928772,256,256,224,0.5,0.0010949848923181697,160
17,0273,0.8820921778678894,96,192,224,0.30000000000000004,0.00036448699004144517,160
18,0059,0.8816932439804077,32,192,192,0.6,0.0007154844161693303,160
19,0312,0.8816489577293396,192,128,192,0.5,0.0005077565598237462,160
20,0039,0.8815159797668457,256,192,96,0.30000000000000004,0.0003609237611847573,160
21,0265,0.8814272880554199,256,64,160,0.30000000000000004,0.0006305597141836115,160
22,0429,0.881294310092926,96,64,256,0.4,0.0007919746988842461,160
23,0451,0.881294310092926,160,224,192,0.7000000000000001,0.0014319833413005392,160
24,0398,0.8812500238418579,256,256,224,0.5,0.0010949848923181697,160
25,0154,0.881205677986145,160,128,128,0.4,0.0005437534080408972,160
26,0223,0.8810727000236511,64,160,160,0.30000000000000004,0.0008403088791427891,160
27,0127,0.8808953762054443,128,64,256,0.4,0.0013856876595694364,160
28,0062,0.8807623982429504,96,128,160,0.5,0.0014319359357472426,160
29,0366,0.8807623982429504,96,192,192,0.6,0.0010988954047943937,160
30,0428,0.8806737661361694,192,160,160,0.5,0.0014031767388896486,160
31,0038,0.8805851340293884,224,256,192,0.2,0.0005946728375728433,160
32,0058,0.8805407881736755,96,128,160,0.5,0.0014319359357472426,160
33,0221,0.8805407881736755,64,160,160,0.30000000000000004,0.0008403088791427891,160
34,0347,0.8805407881736755,64,192,224,0.2,0.0006270792277400881,160
35,0430,0.8804964423179626,192,160,160,0.5,0.0014031767388896486,160
36,0311,0.8804078102111816,192,128,256,0.5,0.002206626353477078,160
37,0351,0.8803634643554688,64,192,224,0.2,0.0006270792277400881,160
38,0181,0.8803191781044006,192,96,224,0.5,0.001668763294937981,160
39,0031,0.8802748322486877,224,256,192,0.2,0.0005946728375728433,160
40,0313,0.8802748322486877,160,128,160,0.6,0.0010580771049089293,160
41,0152,0.8802304863929749,64,128,224,0.7000000000000001,0.0007000914691723327,160
42,0335,0.880186140537262,256,192,192,0.4,0.0018740495093822753,160
43,0035,0.880097508430481,224,256,192,0.2,0.0005946728375728433,160
44,0131,0.880097508430481,128,64,256,0.4,0.0013856876595694364,160
45,0268,0.8800531625747681,64,96,128,0.4,0.0007321845733528145,160
46,0176,0.8800088763237,128,128,192,0.6,0.00016899315089921891,160
47,0449,0.8799645304679871,160,224,192,0.7000000000000001,0.0014319833413005392,160
48,0166,0.879875898361206,192,64,224,0.6,0.0004768880020195473,160
49,0151,0.8798315525054932,160,128,128,0.4,0.0005437534080408972,160
50,0267,0.8798315525054932,256,64,160,0.30000000000000004,0.0006305597141836115,160
51,0168,0.8797429203987122,32,160,192,0.4,0.0014421751851036429,160
52,0086,0.8796099424362183,160,96,224,0.7000000000000001,0.0010787871371794912,160
53,0123,0.8795655965805054,128,64,256,0.4,0.0013856876595694364,160
54,0091,0.8795212507247925,256,256,192,0.5,0.0026490704262329893,160
55,0178,0.8794769644737244,32,160,160,0.6,0.0013257717103432026,160
56,0126,0.8794326186180115,160,224,192,0.2,0.00040581261930939416,160
57,0315,0.8794326186180115,192,128,256,0.5,0.002206626353477078,160
58,0444,0.8794326186180115,96,128,192,0.2,0.0007984634854206986,160
59,0037,0.8792110085487366,256,192,96,0.30000000000000004,0.0003609237611847573,160
60,0405,0.8791223168373108,256,96,192,0.2,0.0006564307435068998,160
61,0125,0.8790336847305298,256,192,192,0.6,0.0009031111745904648,160
62,0128,0.8790336847305298,160,224,192,0.2,0.00040581261930939416,160
63,0329,0.8790336847305298,96,64,192,0.30000000000000004,0.001392105606697543,160
64,0423,0.8790336847305298,96,64,256,0.4,0.0007919746988842461,160
65,0150,0.8789893388748169,96,96,128,0.4,0.0009629240377974274,160
66,0088,0.8789450526237488,32,128,256,0.2,0.0005689684890651405,160
67,0245,0.8789007067680359,224,64,128,0.5,0.0013859880240904726,160
68,0263,0.878856360912323,64,96,128,0.4,0.0007321845733528145,160
69,0214,0.8788120746612549,160,160,224,0.30000000000000004,0.0015636893680288113,160
70,0438,0.8788120746612549,128,160,224,0.6,0.0008510730813483274,160
71,0159,0.878767728805542,32,160,192,0.4,0.0014421751851036429,160
72,0306,0.878767728805542,192,128,256,0.5,0.002206626353477078,160
73,0401,0.878767728805542,192,96,96,0.2,0.0009869107559338007,160
74,0307,0.878679096698761,192,128,192,0.5,0.0005077565598237462,160
75,0338,0.878679096698761,256,192,192,0.4,0.0018740495093822753,160
76,0355,0.8786347508430481,64,224,192,0.5,0.0024310072798896477,160
77,0407,0.8786347508430481,256,96,192,0.2,0.0006564307435068998,160
78,0219,0.8785904049873352,160,160,224,0.30000000000000004,0.0015636893680288113,160
79,0163,0.8785461187362671,32,160,192,0.4,0.0014421751851036429,160
80,0124,0.8784131407737732,224,128,192,0.1,0.0007105147639783914,160
81,0440,0.8783687949180603,96,128,192,0.2,0.0007984634854206986,160
