val_accuracy,conv1,conv2,dense_units,dropout_rate,learning_rate,epochs,batch_size
0.8908244967460632,288,320,480,0.7,0.0003908800077494,100,32
0.8898049592971802,224,384,352,0.7,0.0004676840280217,34,32
0.8894946575164795,448,256,512,0.7,0.000207871042479,34,32
0.8894060254096985,512,224,416,0.7,0.0002612419461357,34,32
0.8891400694847107,192,288,480,0.7,0.0002695063558123,34,32
0.8890070915222168,192,352,448,0.6,0.0001384570412097,100,32
0.8890070915222168,224,288,448,0.7,0.0001896325342438,34,32
0.8890070915222168,288,320,352,0.7,0.0001407642824748,34,32
0.8888741135597229,416,416,480,0.7,0.0001037252150242,34,32
0.88882976770401,192,288,480,0.7,0.0002695063558123,100,32
0.888741135597229,192,416,416,0.7,0.0002748914527149,100,32
0.8886967897415161,192,384,384,0.7,0.0001959003171778,100,32
0.8886081576347351,224,512,512,0.8,0.0001518827292825,100,32
0.8885638117790222,448,448,448,0.7,0.000243774054434,12,32
0.8885638117790222,448,352,480,0.8,0.0003062064277241,100,32
0.8885195255279541,160,480,480,0.8,0.0001940107077363,100,32
0.8884751796722412,224,512,512,0.8,0.0001518827292825,34,32
0.8884751796722412,256,192,512,0.7,0.0001775686260838,100,32
0.8884308338165283,384,480,512,0.7,0.0004016454973653,34,32
0.8883865475654602,448,256,512,0.7,0.000207871042479,100,32
0.8882535696029663,256,192,512,0.7,0.0001775686260838,34,32
0.8882535696029663,384,480,512,0.7,0.0004016454973653,12,32
0.8882092237472534,288,320,352,0.7,0.0001407642824748,100,32
0.8881205916404724,480,288,480,0.7,0.0001508760541175,34,32
0.8880762457847595,288,320,480,0.7,0.0003908800077494,12,32
0.8880762457847595,448,256,512,0.7,0.000207871042479,12,32
0.8880318999290466,416,416,480,0.7,0.0001037252150242,100,32
0.8880318999290466,448,448,448,0.7,0.000243774054434,100,32
0.8879876136779785,288,320,480,0.7,0.0003908800077494,34,32
0.8878989219665527,128,416,480,0.8,0.0002347106238421,100,32
0.8878989219665527,512,384,448,0.6,0.0001234167388294,100,32
0.8878989219665527,512,384,448,0.6,0.0001234167388294,34,32
0.8878989219665527,128,256,320,0.6,0.0003703873341395,34,32
0.8878989219665527,416,416,480,0.7,0.0002404447854924,12,32
0.8878102898597717,224,288,448,0.7,0.0001896325342438,100,32
0.8878102898597717,192,384,384,0.7,0.0001959003171778,34,32
0.8877659440040588,128,160,256,0.7,0.0005935632838566,30,64
0.8877216577529907,320,224,448,0.6,0.0001113837879616,34,32
0.8877216577529907,448,352,480,0.8,0.0003062064277241,34,32
0.8877216577529907,512,224,416,0.7,0.0002612419461357,100,32
0.8876773118972778,448,384,512,0.6,0.0001041763534578,34,32
0.8876773118972778,256,384,448,0.5,0.0002210326580298,12,32
0.8876773118972778,480,256,416,0.6,0.0002139521853107,12,32
0.8876773118972778,512,224,416,0.7,0.0002612419461357,12,32
0.8876329660415649,160,480,480,0.8,0.0001940107077363,34,32
0.887499988079071,256,384,480,0.5,0.0002439706959562,12,32
0.887499988079071,416,128,448,0.7,0.0003437475589659,100,32
0.8874557018280029,512,384,448,0.6,0.0001234167388294,12,32
0.88741135597229,480,448,512,0.6,0.0002781286713237,34,32
0.8873670101165771,480,288,480,0.7,0.0001508760541175,100,32
0.8873670101165771,448,448,448,0.7,0.000243774054434,34,32
0.887322723865509,512,160,416,0.7,0.0001416122913274,100,32
0.887322723865509,224,512,448,0.7,0.0001996455996586,100,32
0.887322723865509,256,512,320,0.7,0.0002294632871264,34,32
0.8872783780097961,416,416,480,0.7,0.0002404447854924,34,32
0.8872783780097961,448,288,352,0.6,0.0003397420787785,34,32
0.8872783780097961,128,480,384,0.6,0.0002078457874995,34,32
0.8872340321540833,512,320,416,0.6,0.0001237094970206,100,32
0.8872340321540833,448,416,512,0.7,0.0004762621491858,100,32
0.8872340321540833,128,480,480,0.7,0.000450073175962,34,32
0.8871454000473022,160,256,416,0.6,0.0002619195108211,34,32
0.8871454000473022,512,192,320,0.5,0.0001428656534424,12,32
0.8871010541915894,416,384,512,0.8,0.0003549667030603,100,32
0.8871010541915894,224,480,416,0.7,0.0002331805553473,34,32
0.8871010541915894,288,512,416,0.7,0.0002624719528056,34,32
0.8870567083358765,480,288,480,0.7,0.0001508760541175,12,32
0.8870567083358765,416,384,512,0.8,0.0003549667030603,34,32
0.8870567083358765,160,160,384,0.6,0.000566103494628,12,32
0.8870124220848083,128,288,448,0.8,0.0005402926824884,100,32
0.8870124220848083,512,512,416,0.5,0.0001782743493272,100,32
0.8870124220848083,288,512,416,0.7,0.0002624719528056,12,32
0.8870124220848083,192,320,288,0.7,0.000217621581095,100,32
0.8869680762290955,192,448,512,0.5,0.0001134232777711,100,32
0.8869680762290955,448,416,480,0.6,0.0004512586935369,34,32
0.8869680762290955,128,480,448,0.8,0.000123819770326,100,32
0.8869680762290955,128,224,512,0.7,0.0004180114049177,34,32
0.8869680762290955,352,352,480,0.5,0.0001819039424632,12,32
0.8869680762290955,512,320,416,0.6,0.0001237094970206,34,32
0.8869237303733826,128,224,480,0.6,0.0002049988004004,100,32
0.8869237303733826,480,448,512,0.6,0.0002781286713237,12,32
0.8869237303733826,480,320,416,0.6,0.0001927117485042,34,32
0.8869237303733826,416,384,384,0.7,0.000378787700646,34,32
0.8868794441223145,160,160,352,0.7,0.0003821517747968,100,32
0.8868794441223145,384,320,416,0.7,0.0003964386092125,34,32
0.8868794441223145,192,448,512,0.5,0.0001134232777711,34,32
0.8868350982666016,192,352,448,0.6,0.0001384570412097,34,32
0.8868350982666016,384,128,512,0.6,0.0001657818491847,100,32
0.8868350982666016,448,256,448,0.8,0.0002720359632074,34,32
0.8867907524108887,128,224,480,0.6,0.0002049988004004,12,32
0.8867907524108887,128,480,352,0.8,0.0001871299735813,34,32
0.8867907524108887,224,448,448,0.8,0.0003975167778485,34,32
0.8867907524108887,512,192,448,0.6,0.0002414639548912,34,32
0.8867907524108887,128,128,416,0.7,0.0006040643365469,34,32
0.8867907524108887,224,288,448,0.7,0.0001896325342438,12,32
0.8867907524108887,128,480,352,0.8,0.0001871299735813,100,32
0.8867464661598206,128,512,416,0.5,0.0001217723610718,34,32
0.8867464661598206,160,384,480,0.6,0.0003856595391,34,32
0.8867021203041077,160,256,256,0.5,0.0001828589320245,30,32
0.8867021203041077,416,320,320,0.5,0.0001629661191073,34,32
0.8867021203041077,192,288,480,0.7,0.0002695063558123,12,32
0.8867021203041077,416,416,480,0.7,0.0002404447854924,100,32
0.8867021203041077,384,448,384,0.7,0.0001918255612244,12,32
0.8866577744483948,512,352,448,0.6,0.0002111245724839,100,32
0.8866577744483948,128,512,416,0.5,0.0001217723610718,100,32
0.8866577744483948,256,448,288,0.7,0.0003328286801192,100,32
0.8866577744483948,352,352,352,0.6,0.0002336188102722,34,32
0.8866577744483948,416,384,384,0.7,0.000378787700646,12,32
0.8866577744483948,480,256,416,0.6,0.0002139521853107,100,32
0.8866134881973267,448,320,416,0.6,0.0001474483374009,34,32
0.8866134881973267,64,256,256,0.6,0.0002940320064307,30,32
0.8866134881973267,224,384,352,0.7,0.0004676840280217,12,32
0.8866134881973267,352,288,416,0.5,0.0001730521444898,34,32
0.8866134881973267,320,320,352,0.5,0.0001963174118259,34,32
0.8865691423416138,352,480,416,0.5,0.0001994007117119,34,32
0.8865691423416138,192,320,480,0.5,0.0002027106956936,12,32
0.8865691423416138,288,288,352,0.6,0.0002331016699463,34,32
0.8865691423416138,160,224,224,0.6,0.0004693375592732,30,160
0.8865691423416138,512,192,448,0.6,0.0002414639548912,12,32
0.8865691423416138,352,352,352,0.6,0.0002336188102722,100,32
0.8865691423416138,256,384,448,0.5,0.0002210326580298,34,32
0.8865691423416138,256,96,224,0.5,0.0001554363732251,30,32
0.8865247964859009,512,128,288,0.5,0.0004217920120596,12,32
0.8865247964859009,384,160,480,0.7,0.0005046957636403,34,32
0.8865247964859009,160,160,352,0.7,0.0003821517747968,34,32
0.8865247964859009,384,128,512,0.6,0.0001657818491847,34,32
0.8865247964859009,160,224,448,0.6,0.0004463732727567,34,32
0.8864805102348328,288,288,352,0.6,0.0002331016699463,12,32
0.8864805102348328,320,192,352,0.6,0.0005307659052752,12,32
0.8864805102348328,224,448,448,0.8,0.0003975167778485,100,32
0.8864805102348328,192,448,512,0.5,0.0001134232777711,12,32
0.8864361643791199,512,480,288,0.7,0.0005020275874369,34,32
0.8864361643791199,192,416,416,0.7,0.0002748914527149,34,32
0.8864361643791199,224,352,480,0.6,0.0007024935763419,12,32
0.886391818523407,448,384,512,0.6,0.0001041763534578,100,32
0.886391818523407,288,320,320,0.7,0.0005837869216877,100,32
0.8863475322723389,128,224,480,0.6,0.0002049988004004,34,32
0.8863475322723389,256,192,192,0.5,0.000185084982251,100,32
0.886303186416626,160,256,416,0.6,0.0002619195108211,12,32
0.886303186416626,480,320,352,0.8,0.0003771756741277,100,32
0.886303186416626,160,256,480,0.7,0.0002704056289288,100,32
0.886303186416626,192,288,448,0.7,0.0004280287109609,34,32
0.886303186416626,288,192,224,0.7,0.0001214211428063,100,32
0.886303186416626,480,512,448,0.7,0.0004962676816794,100,32
0.886303186416626,128,448,384,0.5,0.0002888426623664,12,32
0.886303186416626,320,224,448,0.6,0.0001113837879616,100,32
0.886303186416626,192,512,384,0.7,0.0006382032842658,12,32
0.886303186416626,192,128,352,0.5,0.0002307329783891,12,32
0.886303186416626,128,352,288,0.5,0.0004318266379406,12,32
0.8862588405609131,384,480,448,0.7,0.0005955710814655,34,32
0.8862588405609131,448,288,352,0.6,0.0003205677571914,12,32
0.886214554309845,128,352,512,0.6,0.0003243079707863,12,32
0.886214554309845,512,192,448,0.6,0.0002414639548912,100,32
0.886214554309845,128,352,512,0.6,0.0003243079707863,34,32
0.886214554309845,224,192,480,0.6,0.0004773861503212,12,32
0.886214554309845,256,192,512,0.7,0.0001775686260838,12,32
0.886214554309845,512,128,384,0.5,0.0002609593414492,12,32
0.8861702084541321,416,128,448,0.7,0.0003437475589659,34,32
0.8861702084541321,448,352,480,0.8,0.0003062064277241,12,32
