,val_accuracy,conv1,conv2,dense_units,dropout_rate,learning_rate,epochs,batch_size
0,0.8841311931610107,224,256,256,0.8,0.00031503263432536874,30,224
1,0.8838209509849548,256,96,192,0.6,0.0007359683723382779,30,224
2,0.8837766051292419,128,192,224,0.7000000000000001,0.0007487034056492724,30,224
3,0.8835992813110352,96,192,256,0.6,0.00037510648901598753,30,224
4,0.8829343914985657,224,96,224,0.30000000000000004,0.0010303205419268464,30,224
5,0.8829343914985657,224,64,256,0.6,0.001935779144332754,30,224
6,0.8824911117553711,192,128,256,0.4,0.0010057211701706048,15,224
7,0.8823581337928772,224,96,224,0.30000000000000004,0.0010303205419268464,15,224
8,0.8821365237236023,224,224,192,0.30000000000000004,0.00037600959030677976,15,224
9,0.8821365237236023,256,96,192,0.4,0.0022175822669462703,30,224
10,0.8820478916168213,224,256,256,0.2,0.0005007779298026367,15,224
11,0.8820478916168213,96,256,256,0.2,0.0007666514420010497,15,224
12,0.8820478916168213,128,192,224,0.7000000000000001,0.0007487034056492724,15,224
13,0.8819149136543274,192,128,256,0.4,0.0010057211701706048,30,224
14,0.8819149136543274,96,192,128,0.5,0.0008079568313277625,30,224
15,0.8817375898361206,224,128,224,0.7000000000000001,0.0016547428889215855,30,224
16,0.8816932439804077,32,96,192,0.5,0.00046265326591825686,30,224
17,0.8816932439804077,96,256,256,0.2,0.0007666514420010497,8,224
18,0.8816046118736267,96,192,224,0.6,0.001977514646569497,30,224
19,0.8816046118736267,64,128,224,0.4,0.0012328301908606527,15,224
20,0.8815159797668457,224,224,192,0.30000000000000004,0.00037600959030677976,30,224
21,0.8814272880554199,224,256,160,0.4,0.0008630451994815707,15,224
22,0.8814272880554199,96,192,224,0.6,0.001977514646569497,15,224
23,0.8813830018043518,64,128,224,0.4,0.0012328301908606527,30,224
24,0.8813386559486389,160,192,128,0.4,0.001181049410390464,30,224
25,0.8813386559486389,128,224,224,0.4,0.0014805229430015158,30,224
26,0.881294310092926,224,256,160,0.4,0.0008630451994815707,30,224
27,0.8812500238418579,64,256,160,0.4,0.0008194267750088027,15,224
28,0.8812500238418579,64,256,160,0.4,0.0008194267750088027,30,224
29,0.881117045879364,224,96,224,0.30000000000000004,0.0010303205419268464,8,224
30,0.8809840679168701,64,256,256,0.30000000000000004,0.0009109028174586722,15,224
31,0.8808953762054443,224,64,256,0.6,0.001935779144332754,15,224
32,0.8804964423179626,160,160,192,0.6,0.002083210272273066,30,224
33,0.8804521560668945,192,160,256,0.30000000000000004,0.00184863581331931,15,224
34,0.8804078102111816,96,192,128,0.5,0.0008079568313277625,15,224
35,0.8803634643554688,192,128,256,0.4,0.0010057211701706048,8,224
36,0.880186140537262,64,128,224,0.4,0.0012328301908606527,8,224
37,0.880097508430481,160,192,128,0.4,0.001181049410390464,15,224
38,0.8800531625747681,256,224,96,0.30000000000000004,0.0006643677689101597,30,224
39,0.8800531625747681,160,160,192,0.6,0.002083210272273066,15,224
40,0.8799201846122742,224,128,224,0.7000000000000001,0.0016547428889215855,15,224
41,0.879875898361206,256,96,192,0.4,0.0022175822669462703,15,224
42,0.8798315525054932,224,160,192,0.30000000000000004,0.0018559246692543873,30,224
43,0.8797872066497803,160,192,128,0.4,0.001181049410390464,8,224
44,0.8797872066497803,128,224,224,0.4,0.0014805229430015158,15,224
45,0.8796542286872864,224,256,256,0.2,0.0005007779298026367,30,224
46,0.8794769644737244,224,256,160,0.4,0.0008630451994815707,8,224
47,0.8792552947998047,64,256,256,0.30000000000000004,0.0009109028174586722,8,224
48,0.8792110085487366,128,224,224,0.4,0.0014805229430015158,8,224
49,0.8790780305862427,224,160,192,0.30000000000000004,0.0018559246692543873,15,224
50,0.8790780305862427,160,160,128,0.2,0.0007098923102025065,15,224
51,0.8789450526237488,224,224,96,0.4,0.0007063125250861504,30,224
52,0.8789450526237488,160,192,192,0.2,0.0008648052242858125,15,224
53,0.8789007067680359,64,192,256,0.5,0.0007370553076887802,8,224
54,0.878856360912323,160,160,128,0.2,0.0007098923102025065,8,224
55,0.878856360912323,32,256,128,0.4,0.0015188217973022642,15,224
56,0.878856360912323,256,224,96,0.6,0.0006915632183588,30,224
57,0.8788120746612549,256,224,96,0.30000000000000004,0.0006643677689101597,15,224
58,0.8787233829498291,32,64,160,0.4,0.0016656279033690554,15,224
59,0.8785017728805542,192,96,128,0.2,0.000821896448431958,15,224
60,0.8784131407737732,224,224,96,0.4,0.0007063125250861504,15,224
61,0.8784131407737732,192,64,256,0.30000000000000004,0.0026150046750660063,15,224
62,0.8783687949180603,224,160,192,0.30000000000000004,0.0018559246692543873,8,224
63,0.8783687949180603,160,160,128,0.5,0.0015811839717947633,30,224
64,0.8783244490623474,160,128,256,0.4,0.0033907407069699042,15,224
65,0.8782801628112793,32,64,96,0.30000000000000004,0.0008650012106797089,30,224
66,0.8782801628112793,96,256,256,0.2,0.0007666514420010497,30,224
67,0.8781914710998535,32,256,128,0.4,0.0015188217973022642,30,224
68,0.8780142068862915,160,192,192,0.2,0.0008648052242858125,30,224
69,0.8780142068862915,96,192,224,0.6,0.001977514646569497,8,224
70,0.8778368830680847,160,160,128,0.5,0.0015811839717947633,15,224
71,0.8778368830680847,160,32,256,0.5,0.0013480300036936377,15,224
72,0.8777925372123718,160,160,128,0.2,0.0007098923102025065,30,224
73,0.8777925372123718,224,256,256,0.2,0.0005007779298026367,8,224
74,0.8777482509613037,128,160,160,0.30000000000000004,0.002626722097253285,30,224
75,0.8777482509613037,128,224,96,0.1,0.0011215322999139465,8,224
76,0.8776152729988098,160,192,192,0.2,0.0008648052242858125,8,224
77,0.877437949180603,32,64,96,0.30000000000000004,0.0008650012106797089,15,224
78,0.877349317073822,160,128,256,0.4,0.0033907407069699042,8,224
79,0.8772163391113281,32,32,224,0.2,0.0006563208365256381,30,224
80,0.8771719932556152,256,224,96,0.30000000000000004,0.0006643677689101597,8,224
81,0.8771276473999023,224,224,192,0.30000000000000004,0.00037600959030677976,8,224
82,0.8770390152931213,224,128,224,0.2,0.001953482914773984,15,224
83,0.8769946694374084,256,96,160,0.1,0.0020748145543384683,8,224
84,0.8769503831863403,224,96,192,0.8,0.0007268019450899719,30,224
85,0.8767730593681335,160,224,256,0.1,0.0009905983709718816,30,224
86,0.8767730593681335,96,96,128,0.1,0.0007593261167587883,30,224
87,0.8766400814056396,128,160,224,0.1,0.0009305124997080681,8,224
88,0.8765513896942139,192,160,256,0.30000000000000004,0.00184863581331931,8,224
89,0.8765071034431458,64,32,160,0.6,0.0006264662501357115,30,224
90,0.876329779624939,224,192,128,0.6,0.0021349854234323064,30,224
91,0.8762854337692261,32,96,160,0.1,0.0007591848286569005,30,224
92,0.8762854337692261,64,96,64,0.30000000000000004,0.0012648394371023938,30,224
93,0.876241147518158,224,128,224,0.2,0.001953482914773984,8,224
94,0.8761968016624451,192,64,256,0.30000000000000004,0.0026150046750660063,30,224
95,0.8761081695556641,128,160,160,0.5,0.0031468652789622942,15,224
96,0.8760638236999512,224,64,256,0.6,0.001935779144332754,8,224
97,0.8760638236999512,128,160,160,0.5,0.0031468652789622942,30,224
98,0.8760194778442383,96,96,128,0.1,0.0007593261167587883,15,224
99,0.8759308457374573,32,64,160,0.4,0.0016656279033690554,8,224
100,0.8758422136306763,64,32,128,0.6,0.0012315462988365519,30,224
101,0.8757535219192505,160,128,256,0.4,0.0033907407069699042,4,224
102,0.8755762577056885,192,96,128,0.2,0.000821896448431958,8,224
103,0.8753989338874817,256,96,160,0.1,0.0020748145543384683,15,224
104,0.8752659559249878,64,96,160,0.2,0.0008067005699966024,8,224
105,0.8752216100692749,192,64,96,0.2,0.0014785298650688708,30,224
106,0.8752216100692749,64,256,160,0.4,0.0008194267750088027,8,224
107,0.8751773238182068,256,32,192,0.1,0.0014853047712924245,30,224
108,0.875088632106781,64,96,64,0.30000000000000004,0.0012648394371023938,15,224
109,0.8750443458557129,256,160,160,0.4,0.0036787854485432845,15,224
110,0.875,32,128,64,0.2,0.0017812463852932346,15,224
111,0.875,192,256,96,0.4,0.0026578573537663526,15,224
112,0.875,32,96,192,0.5,0.00046265326591825686,15,224
113,0.8748670220375061,64,224,256,0.1,0.0016610199547552847,15,224
114,0.8747783899307251,160,160,128,0.5,0.0015811839717947633,8,224
115,0.8747340440750122,224,256,256,0.8,0.00031503263432536874,15,224
116,0.8746454119682312,128,160,224,0.1,0.0009305124997080681,4,224
117,0.8746454119682312,160,192,64,0.1,0.0006742425410470365,8,224
118,0.8746454119682312,192,64,96,0.2,0.0014785298650688708,15,224
119,0.8746010661125183,32,256,128,0.4,0.0015188217973022642,8,224
120,0.8744680881500244,128,192,224,0.7000000000000001,0.0007487034056492724,8,224
121,0.8744237422943115,96,128,224,0.6,0.003982162357170975,30,224
122,0.8744237422943115,32,256,256,0.1,0.0022936044676790247,8,224
123,0.8743794560432434,32,32,224,0.2,0.0006563208365256381,15,224
124,0.8743351101875305,32,96,160,0.1,0.0007591848286569005,15,224
125,0.8743351101875305,160,64,96,0.2,0.0015736310379180364,15,224
126,0.8742907643318176,192,128,256,0.4,0.0010057211701706048,4,224
127,0.8742907643318176,96,128,128,0.7000000000000001,0.0016108764875116589,15,224
128,0.8742021322250366,128,32,192,0.5,0.003196083801216358,8,224
129,0.8741577863693237,96,256,256,0.2,0.0007666514420010497,4,224
130,0.8741577863693237,32,224,96,0.4,0.003157408413059941,30,224
131,0.8740248084068298,224,96,192,0.8,0.0007268019450899719,15,224
132,0.8739805221557617,224,160,64,0.4,0.00064087187814532,15,224
133,0.8739805221557617,256,224,192,0.2,0.00013510943137702913,30,224
134,0.8739805221557617,160,32,256,0.5,0.0013480300036936377,8,224
135,0.8738918304443359,256,224,96,0.6,0.0006915632183588,15,224
136,0.8738475441932678,128,224,96,0.1,0.0011215322999139465,15,224
